length,net_charge,% Hydrophobe,Boman Index
18.0,7.0,44.0,3.65
42.0,4.0,42.0,1.58
44.0,2.0,43.0,2.08
64.0,5.0,53.0,0.48
37.0,2.0,35.0,1.04
14.0,5.0,57.0,-0.2
14.0,4.0,71.0,-0.96
36.0,3.0,30.0,2.2
37.0,3.0,27.0,1.94
34.0,3.0,44.0,0.43
34.0,3.0,44.0,0.37
32.0,2.0,43.0,0.63
34.0,8.0,38.0,1.71
32.0,5.0,28.0,3.08
24.0,3.0,45.0,-0.31
21.0,5.0,61.0,-0.76
18.0,8.0,44.0,4.27
18.0,8.0,44.0,3.75
17.0,7.0,47.0,2.98
17.0,7.0,47.0,3.53
17.0,7.0,47.0,3.53
40.0,3.0,42.0,1.32
34.0,8.0,38.0,3.87
16.0,6.0,50.0,3.18
18.0,6.0,44.0,2.77
18.0,5.0,50.0,1.76
18.0,6.0,44.0,2.82
32.0,8.0,37.0,3.59
32.0,7.0,37.0,3.23
29.0,5.0,41.0,2.9
31.0,4.0,48.0,1.54
51.0,4.0,45.0,1.46
40.0,3.0,45.0,1.29
34.0,4.0,47.0,1.89
40.0,3.0,45.0,0.99
39.0,6.0,41.0,1.7
39.0,5.0,43.0,1.64
39.0,5.0,43.0,1.86
40.0,3.0,42.0,2.0
47.0,5.0,31.0,2.94
38.0,9.0,42.0,1.71
47.0,6.0,36.0,2.32
46.0,6.0,32.0,1.83
22.0,4.0,18.0,2.71
25.0,4.0,40.0,0.33
25.0,1.0,56.0,-1.04
25.0,1.0,56.0,-1.21
25.0,0.0,56.0,-1.04
25.0,1.0,52.0,-0.57
25.0,1.0,56.0,-1.13
24.0,2.0,58.0,-0.98
24.0,3.0,54.0,-0.61
24.0,3.0,54.0,-0.71
24.0,2.0,54.0,-0.98
25.0,2.0,44.0,0.14
25.0,1.0,44.0,0.45
25.0,1.0,44.0,0.04
25.0,1.0,48.0,0.45
22.0,2.0,40.0,0.82
22.0,1.0,40.0,0.79
22.0,1.0,40.0,0.94
22.0,1.0,40.0,1.36
23.0,2.0,43.0,0.33
23.0,2.0,47.0,0.29
23.0,2.0,43.0,0.47
22.0,1.0,68.0,-1.37
23.0,1.0,56.0,-0.04
18.0,2.0,55.0,-0.32
26.0,1.0,42.0,0.42
39.0,9.0,43.0,1.97
33.0,4.0,48.0,0.81
40.0,7.0,45.0,1.47
36.0,5.0,47.0,1.21
38.0,11.0,31.0,3.4
25.0,4.0,32.0,1.55
41.0,4.0,34.0,2.15
43.0,10.0,25.0,2.68
37.0,4.0,27.0,2.3
34.0,7.0,38.0,3.29
30.0,2.0,50.0,0.4
31.0,2.0,48.0,0.28
23.0,5.0,52.0,-0.38
23.0,5.0,52.0,0.02
23.0,5.0,52.0,-0.7
23.0,5.0,52.0,-0.16
23.0,6.0,52.0,-0.5
34.0,6.0,29.0,1.74
31.0,2.0,48.0,0.09
45.0,11.0,33.0,2.87
33.0,1.0,39.0,1.77
32.0,8.0,37.0,2.83
51.0,4.0,39.0,1.63
51.0,6.0,39.0,1.77
21.0,1.0,23.0,3.01
25.0,6.0,36.0,2.6
23.0,6.0,39.0,2.14
24.0,6.0,37.0,2.33
38.0,3.0,21.0,2.96
31.0,3.0,54.0,0.04
44.0,-2.0,40.0,1.63
46.0,2.0,28.0,1.98
47.0,6.0,36.0,2.35
47.0,6.0,36.0,2.4
36.0,4.0,47.0,0.29
39.0,8.0,46.0,1.53
39.0,8.0,46.0,1.64
41.0,5.0,41.0,1.22
21.0,2.0,57.0,1.0
11.0,1.0,54.0,0.0
12.0,1.0,66.0,-0.54
12.0,1.0,58.0,-0.66
11.0,1.0,63.0,-0.73
39.0,12.0,28.0,3.08
21.0,6.0,33.0,3.34
27.0,7.0,33.0,3.38
37.0,6.0,35.0,2.99
23.0,4.0,30.0,2.45
35.0,7.0,42.0,2.81
36.0,8.0,50.0,2.01
33.0,4.0,42.0,2.04
33.0,2.0,39.0,0.11
19.0,3.0,52.0,-0.04
19.0,2.0,52.0,-0.04
19.0,3.0,52.0,0.01
19.0,1.0,52.0,-0.24
19.0,3.0,52.0,-0.69
19.0,2.0,52.0,-0.35
19.0,3.0,52.0,-0.12
17.0,3.0,58.0,0.37
17.0,3.0,52.0,0.3
17.0,3.0,52.0,0.01
17.0,3.0,52.0,-0.31
13.0,1.0,61.0,-0.35
19.0,5.0,36.0,1.43
19.0,4.0,36.0,1.14
32.0,9.0,40.0,0.91
32.0,10.0,40.0,1.21
